installment_value,high_installment_flag,used_voucher,delivered_in_days,delivery_speed_flag,delivery_distance_in_km,is_repeat_buyer
67.73,0,0,6.0,1,159.89,0
74.1,0,0,2.0,1,61.61,0
61.5,1,0,7.0,1,,0
47.29,1,0,15.0,3,542.07,0
117.51,0,0,15.0,3,542.07,0
161.21,0,0,12.0,2,674.19,0
129.55,0,0,12.0,2,474.22,0
129.55,0,0,12.0,2,849.73,0
50.0,1,1,4.0,1,,0
2.68,1,0,4.0,1,,0
11.2,1,0,4.0,1,462.23,0
283.87,1,0,9.0,1,5.73,0
89.17,1,0,22.0,3,388.9,0
30.36,1,0,9.0,1,689.55,1
31.33,1,0,8.0,1,,0
87.15,0,0,4.0,1,39.04,0
15.5,1,0,5.0,1,,0
123.21,0,0,9.0,1,204.42,1
49.56,1,0,6.0,1,300.68,0
24.83,1,0,4.0,1,205.54,0
38.29,1,0,6.0,1,,0
43.1,1,0,5.0,1,,0
21.04,1,0,2.0,1,,0
29.13,1,0,9.0,1,2075.57,0
29.13,1,0,9.0,1,,0
32.79,1,0,27.0,3,,0
45.53,1,0,18.0,3,581.57,0
60.96,1,0,18.0,3,,0
70.98,0,0,8.0,1,817.11,0
276.1,0,0,8.0,1,,0
27.52,1,0,10.0,1,93.0,0
240.09,0,0,14.0,3,2031.29,0
240.09,0,0,14.0,3,2031.29,0
10.59,1,0,15.0,3,,0
78.66,0,0,14.0,3,855.62,0
122.47,0,0,5.0,1,820.33,0
62.69,1,0,11.0,1,376.99,0
66.1,1,0,9.0,1,802.37,0
10.27,1,0,14.0,3,410.07,0
30.66,1,0,28.0,3,1394.83,0
10.61,1,0,31.0,3,,0
51.71,1,0,13.0,2,1256.29,0
51.71,1,0,13.0,2,1256.29,0
57.11,1,0,19.0,3,1881.11,0
13.08,1,0,12.0,2,,0
71.86,1,0,34.0,3,702.06,0
674.34,0,0,5.0,1,,0
22.49,1,0,10.0,1,393.2,0
25.69,1,0,15.0,3,1077.26,0
72.76,0,0,7.0,1,104.21,0
67.5,0,0,29.0,3,634.04,0
37.13,1,0,12.0,2,,0
328.4,0,0,21.0,3,404.17,0
41.85,1,0,8.0,1,,0
98.39,1,0,6.0,1,526.49,0
29.88,1,0,12.0,2,441.51,1
107.07,0,0,8.0,1,,0
57.91,1,0,15.0,3,332.48,0
90.73,0,0,14.0,3,,0
40.47,1,0,18.0,3,,0
147.97,0,0,19.0,3,448.57,0
36.87,1,0,3.0,1,45.46,0
36.87,1,0,3.0,1,45.46,0
116.46,0,0,78.0,3,661.61,0
59.56,1,0,9.0,1,,0
224.4,0,0,22.0,3,545.13,0
224.4,0,0,22.0,3,545.13,0
224.4,0,0,22.0,3,545.13,0
224.4,0,0,22.0,3,545.13,0
43.22,1,0,16.0,3,,0
99.2,0,0,3.0,1,,0
10.48,1,0,9.0,1,235.93,0
37.74,1,0,8.0,1,,0
38.91,1,0,8.0,1,704.41,0
236.29,0,0,12.0,2,447.53,0
144.12,0,0,18.0,3,335.83,0
62.0,1,0,5.0,1,616.79,0
37.54,1,0,4.0,1,476.75,0
27.12,1,0,19.0,3,1382.41,0
65.2,1,0,5.0,1,44.84,0
44.54,1,0,13.0,2,7.19,0
50.88,1,0,7.0,1,567.93,1
41.69,1,0,12.0,2,,0
71.81,0,0,8.0,1,633.94,0
29.31,1,0,8.0,1,316.25,0
45.21,1,0,6.0,1,,0
22.02,1,0,30.0,3,475.05,0
22.75,1,0,17.0,3,362.41,0
52.05,1,0,4.0,1,,0
52.05,1,0,4.0,1,,0
54.78,1,0,10.0,1,430.26,0
25.31,1,0,6.0,1,547.64,0
22.51,1,0,33.0,3,233.12,0
22.71,1,0,9.0,1,340.05,0
22.59,1,0,23.0,3,,0
102.12,1,0,18.0,3,447.69,0
97.72,0,0,42.0,3,556.9,0
208.66,0,0,14.0,3,,0
242.14,0,0,25.0,3,1097.63,0
242.14,0,0,25.0,3,1097.63,0
29.46,1,0,22.0,3,878.69,0
50.29,1,0,11.0,1,806.96,0
10.44,1,0,11.0,1,1998.82,0
60.7,1,0,4.0,1,,0
154.94,0,0,10.0,1,,0
14.56,1,0,5.0,1,,0
14.56,1,0,5.0,1,,0
11.45,1,0,2.0,1,153.79,1
216.83,0,0,7.0,1,1106.79,0
88.34,0,0,42.0,3,893.85,0
88.34,0,0,42.0,3,893.85,0
45.74,1,0,24.0,3,,0
21.57,1,0,31.0,3,1078.89,0
316.76,0,0,28.0,3,,1
77.5,1,0,10.0,1,596.44,0
10.44,1,0,6.0,1,150.45,0
10.44,1,0,6.0,1,150.45,0
450.1,0,0,21.0,3,379.12,0
27.65,1,0,23.0,3,458.17,0
10.25,1,0,11.0,1,,0
70.72,0,0,7.0,1,,0
61.44,1,0,10.0,1,741.71,0
259.84,0,0,4.0,1,66.66,0
259.84,0,0,4.0,1,66.66,0
49.16,1,0,39.0,3,649.68,0
17.77,1,0,3.0,1,,0
65.0,1,0,23.0,3,373.79,0
76.86,0,0,27.0,3,761.07,0
35.74,1,0,17.0,3,1492.95,0
214.17,0,0,13.0,2,518.7,0
68.55,0,0,7.0,1,,0
31.78,1,0,4.0,1,,0
77.77,0,0,15.0,3,,0
25.5,1,0,11.0,1,,0
430.04,0,0,19.0,3,,0
430.04,0,0,19.0,3,,0
13.0,1,0,26.0,3,552.65,1
13.93,1,0,9.0,1,316.37,0
128.12,1,0,5.0,1,,0
128.12,1,0,5.0,1,,0
128.12,1,0,5.0,1,,0
125.33,0,0,9.0,1,797.99,0
53.9,1,0,4.0,1,408.68,0
21.43,1,0,4.0,1,,0
169.49,0,0,12.0,2,1623.81,0
73.72,1,0,18.0,3,329.96,0
22.55,1,0,6.0,1,,1
133.21,0,0,8.0,1,,0
30.87,1,0,14.0,3,589.49,0
170.0,1,0,15.0,3,714.73,0
141.31,0,0,7.0,1,864.16,0
47.71,1,0,21.0,3,,0
31.04,1,0,45.0,3,1082.24,0
31.04,1,0,45.0,3,1082.24,0
198.11,0,0,2.0,1,298.66,1
198.11,0,0,2.0,1,,1
198.11,0,0,2.0,1,,1
198.11,0,0,2.0,1,,1
198.11,0,0,2.0,1,,1
198.11,0,0,2.0,1,,1
198.11,0,0,2.0,1,,1
1147.5,0,0,20.0,3,,0
12.87,1,0,7.0,1,1203.2,0
10.36,1,0,9.0,1,300.45,0
98.68,0,0,5.0,1,809.46,0
150.28,0,0,12.0,2,591.58,0
116.21,0,0,56.0,3,342.23,0
45.31,1,0,14.0,3,302.14,0
68.84,0,0,3.0,1,,0
36.29,1,0,3.0,1,,0
1714.02,0,0,21.0,3,122.96,0
1714.02,0,0,21.0,3,122.96,0
1714.02,0,0,21.0,3,122.96,0
65.46,1,0,50.0,3,,0
71.29,0,0,23.0,3,783.9,1
125.55,0,0,18.0,3,,0
26.3,1,0,6.0,1,691.67,0
24.42,1,0,2.0,1,,0
24.38,1,0,11.0,1,134.31,0
21.3,1,0,10.0,1,42.62,0
21.3,1,0,10.0,1,42.62,0
17.85,1,0,17.0,3,850.08,0
33.8,1,0,11.0,1,2085.49,0
12.93,1,0,9.0,1,4.77,0
100.76,1,0,8.0,1,330.04,0
13.54,1,0,8.0,1,,0
89.08,0,0,19.0,3,2318.14,0
88.44,0,0,5.0,1,394.9,0
17.84,1,1,10.0,1,,0
20.0,1,1,10.0,1,,0
19.95,1,0,13.0,2,,0
19.95,1,0,13.0,2,,0
14.35,1,0,11.0,1,,0
301.67,0,0,3.0,1,135.31,0
36.1,1,0,10.0,1,,0
12.07,1,0,9.0,1,119.76,0
16.21,1,0,2.0,1,48.66,0
13.97,1,0,15.0,3,108.16,0
291.68,0,0,9.0,1,135.64,1
291.68,0,0,9.0,1,135.64,1
259.84,0,0,2.0,1,92.69,1
102.27,0,0,7.0,1,742.97,0
56.42,1,0,46.0,3,1415.96,0
121.09,0,0,13.0,2,1070.77,0
28.22,1,1,4.0,1,,0
218.63,0,0,9.0,1,815.88,0
51.54,1,0,7.0,1,,0
51.54,1,0,7.0,1,,0
131.58,0,0,26.0,3,734.5,0
131.58,0,0,26.0,3,734.5,0
53.83,1,0,3.0,1,72.3,0
23.99,1,0,38.0,3,933.91,0
25.04,1,0,4.0,1,,0
37.38,1,0,13.0,2,151.1,0
39.75,1,0,6.0,1,232.23,0
116.94,0,0,12.0,2,806.69,0
75.15,0,0,12.0,2,402.26,0
50.95,1,0,16.0,3,,0
187.83,0,0,8.0,1,1181.0,0
55.07,1,0,13.0,2,,0
158.78,0,0,11.0,1,961.14,0
158.78,0,0,11.0,1,961.14,0
28.63,1,0,11.0,1,351.81,0
